SEIF,SEMINARIO DE INSTRUMENTOS FINANCIEROS
FAN-ES,FUNDAMENTOS DE ANATOMIA
BCM-ES,BIOLOGIA CELULAR Y MOLECULAR
ITF-ES,INTRODUCCION A LA TERAPIA FISICA
MIN - ES,METODOS DE INVESTIGACION
BES,BIOMEC?NICA DE LA EXTREMIDAD SUPERIOR
FPH - ES,FISIOPATOLOGIA HUMANA
VFP - ES,VALORACION DE LA FUNCION ARTICULAR Y LA POSTURA
NUH,NUTRICIĖN HUMANA
NDO,NEURODESARROLLO
VFP,VALORACION DE LA FUNCION ARTICULAR Y POSTURA
IAP,INTRODUCCIĖN A LA PROGRAMACIĖN
NAN,NEUROANATOMIA
FAN,FUNDAMENTOS DE ANATOMIA
FPH,FISIOPATOLOGIA HUMANA
BIMIES,BIOMECANICA DE MIEMBROS INFERIORES
FUA-CV,FUNDAMENTOS DE ANATOMIA
BIV-ES,BIOTECNOLOGIA VEGETAL
FIE,FISIOLOGIA DEL EJERCICIO
POE,PROGRAMACION ORIENTADA A EVENTOS
PPS,PLANEACION DE PROYECTOS DE SOFTWARE
APS,ADMINISTRACION DE PROYECTOS DE SOFTWARE
SII,SISTEMAS DE INFORMACION
ADT,ADMINISTRACION DE TIC
MEN-ES,METODOS NUMERICOS
MENU,METODOS NUMERICOS
ACE,"ANATOMIA DE CABEZA, CUELLO Y EXTREMIDADES"
BIE,BIOESTADISTICA
BEI,BIOMECANICA DE LA EXTREMIDAD INFERIOR
NFI,NEUROFISIOLOGIA
LEN,LEGISLACION Y NORMATIVIDAD EN EL SECTOR SALUD
NHA,NEUROPATOLOGIA HUMANA EN EL ADULTO
DEM,DESARROLLO DE NUEVOS NEGOCIOS
VFM,VALORACION DE LA FUNCION MUSCULAR
CPT,CLINICA PROPEDEUTICA  EN  TERAPIA  FISICA
CFT,CULTURA FISICA TERAPEUTICA
FIT,FUNDAMENTOS  DE IMAGENOLOGIA EN TERAPIA FISICA
ADH,ADMINISTRACION HOSPITALARIA
TNA,TERAPIA FISICA NEUROLOGICA EN ADULTOS
TEA,ESTRATEGIAS DE VENTA
EPA,FUENTES DE FINANCIAMIENTO
,
FBF,FUNDAMENTOS BASICOS DE FARMACOLOGIA
EJFT,EJERCICIOS FUNCIONALES TERAPEUTICOS
TFR,REUMATOLOGIA
TCR,TERAPIA FISICA CARDIORESPIRATORIA
